fips,jurisdiction,Total Cases,Total Death,CasesInLast7Days,RatePer100000
VA,51,Virginia,12366,436,4875,145.2
DC,11,District of Columbia,3528,153,1178,502.2
NJ,34,New Jersey,102196,5617,26879,1147.2
DE,10,Delaware,3442,100,1367,355.9
RI,44,Rhode Island,6699,202,2730,633.6
AK,02,Alaska,339,9,39,46
MI,26,Michigan,36627,3084,7364,530.7
NH,33,New Hampshire,1720,53,509,126.8
NC,37,North Carolina,8052,269,2587,77.5
MT,30,Montana,444,14,22,41.8
WA,53,Washington,12977,723,1825,172.2
AL,01,Alabama,6026,209,1622,123.3
PA,42,Pennsylvania,38652,1492,10917,301.8
CA,06,California,39254,1562,13072,99.2
OH,39,Ohio,15169,690,6755,129.8
MD,24,Maryland,16616,798,5044,275
NV,32,Nevada,4398,203,1077,144.9
MP,69,Northern Mariana Islands,14,2,1,0
WY,56,Wyoming,473,7,72,81.9
MA,25,Massachusetts,50969,2556,18788,738.5
MS,28,Mississippi,5434,209,1641,182
PW,70,Palau,0,0,0,0
GU,66,Guam,141,5,6,85.1
ND,38,North Dakota,748,15,355,98.4
OK,40,Oklahoma,3121,188,762,79.2
CT,09,Connecticut,23921,1764,8037,669.6
IL,17,Illinois,39658,1795,13925,311.3
VI,78,Virgin Islands,54,3,1,51.6
CO,08,Colorado,12184,672,3602,213.9
AS,60,American Samoa,0,0,0,0
RMI,68,Republic of Marshall Islands,0,0,0,0
ID,16,Idaho,1870,54,261,106.6
MO,29,Missouri,6625,262,1514,108.1
PR,72,Puerto Rico,1416,69,373,44.3
UT,49,Utah,3782,39,1022,119.6
MN,27,Minnesota,3185,221,1172,56.8
GA,13,Georgia,22491,899,6040,213.8
LA,22,Louisiana,26140,1601,3608,560.9
TX,48,Texas,22806,593,6351,79.5
IA,19,Iowa,4445,107,2304,140.8
SD,46,South Dakota,2040,10,729,231.2
WI,55,Wisconsin,5356,262,1481,92.1
NY,36,New York,267256,20400,50553,1367.6
AZ,04,Arizona,6045,266,1811,84.3
VT,50,Vermont,827,44,59,132
FL,12,Florida,29707,1046,7033,139.5
KS,20,Kansas,2777,111,1189,95.4
WV,54,West Virginia,1010,32,271,55.9
NM,35,New Mexico,2521,84,924,120.3
HI,15,Hawaii,601,13,60,42.3
IN,18,Indiana,13680,741,4138,204.4
NE,31,Nebraska,2421,50,1355,125.5
TN,47,Tennessee,8742,168,2480,129.1
AR,05,Arkansas,2810,47,1175,93.2
SC,45,South Carolina,5070,157,1139,99.7
OR,41,Oregon,2177,86,441,51.9
KY,21,Kentucky,3779,200,1350,84.6
FSM,64,Federated States of Micronesia,0,0,0,0
ME,23,Maine,965,47,169,72.1
US,00,United States of America,895766,50439,0,0